"Name","Dragon.Year","Sex","Time.in.pop","AgeClass","ActiveFungus","InfectedDensity.Annual","Name2"
"Fern",2014,"Female",578.277777777778,"Adult",1,0.000570819117264585,"Fern"
"Ffion",2014,"Female",37.75,"Adult",0,7.57487041524432e-05,"Ffion"
"Fisch",2014,"Male",772.315789473684,"Adult",0,0.000225605743772694,"Fisch"
"Flex",2014,"Male",1292,"Adult",0,0.000165684411509315,"Flex"
"Flirty",2014,"Female",55.5,"Juvenile",0,6.82781014815294e-08,"Flirty"
"Ford",2014,"Male",372.285714285714,"Adult",0,4.63823106897928e-06,"Ford"
"Forgetful",2014,"Male",332.333333333333,"Juvenile",0,2.68862716666929e-05,"Forgetful"
"Francine",2014,"Female",790.194444444444,"Adult",0,3.31897407308868e-06,"Francine"
"Fresh",2014,"Female",783.763157894737,"Adult",0,8.28324075269926e-06,"Fresh"
"Fritter",2014,"Female",722.166666666667,"Adult",0,0.000129005087742971,"Fritter"
"Gaga",2014,"Male",769.052631578947,"Adult",0,0,"Gaga"
"Gallion",2014,"Male",780.44,"Adult",0,4.5359121366705e-06,"Gallion"
"Greg",2014,"Male",1314,"Adult",0,0.000168827938890273,"Greg"
"Gretel",2014,"Female",1341.77777777778,"Adult",0,3.85648362849987e-05,"Gretel"
"Grille",2014,"Male",1339.55555555556,"Adult",0,0.000170558768081668,"Grille"
"Grumpy",2014,"Female",46,"Adult",0,6.39511253315857e-05,"Grumpy"
"Hakuna",2014,"Female",77,"Adult",0,0.000126385138493257,"Hakuna"
"Harvard",2014,"Male",704.666666666667,"Adult",0,0.00012587658513784,"Harvard"
"Hazza",2014,"Male",365.666666666667,"Juvenile",0,8.41696839761139e-05,"Hazza"
"Hector",2014,"Male",1330.28571428571,"Adult",0,6.92218333656644e-05,"Hector"
"Hippo",2014,"Male",768.75,"Juvenile",0,0.000175601990343863,"Hippo"
"Horis",2014,"Female",796.6,"Adult",0,6.3742284716616e-12,"Horis"
"Ianson",2014,"Male",758,"Adult",0,0.00033500047332627,"Ianson"
"Ishy",2014,"Male",1320.40740740741,"Adult",0,5.71283509634115e-06,"Ishy"
"Ivy",2014,"Female",1326.625,"Adult",0,0.000127210418927191,"Ivy"
"Jamie",2014,"Male",1316.66666666667,"Adult",0,0.000166339267388537,"Jamie"
"Jen",2014,"Female",34.5,"Adult",0,0.00016456673471534,"Jen"
"Johnny",2014,"Male",1318.29032258065,"Adult",0,0.000120849150563434,"Johnny"
"Jude",2014,"Male",753,"Adult",0,0,"Jude"
"Judge",2014,"Male",1324,"Adult",0,0,"Judge"
"Judy",2014,"Female",1319.5,"Adult",0,9.02966405403702e-13,"Judy"
"Juno",2014,"Female",38,"Juvenile",0,0.000242809750628983,"Juno"
"Kaa",2014,"Female",1289,"Juvenile",0,0,"Kaa"
"Karin",2014,"Female",783.315789473684,"Adult",0,6.1822844445216e-06,"Karin"
"Kelly",2014,"Female",1285.5,"Adult",0,0,"Kelly"
"Kelvin",2014,"Male",1346.18181818182,"Adult",0,5.60925859463591e-05,"Kelvin"
"Kiah",2014,"Female",1,"Juvenile",0,0,"Kiah"
"Kiara",2014,"Female",695.333333333333,"Juvenile",0,0.000303388543992093,"Kiara"
"Kiki",2014,"Female",1288,"Adult",0,0.000211054099093433,"Kiki"
"Kirra",2014,"Female",1317.88888888889,"Adult",0,8.57579902970324e-05,"Kirra"
"Kylie",2014,"Female",746,"Adult",0,5.38476931983051e-06,"Kylie"
"Larsson",2014,"Male",342,"Adult",0,3.66672601874351e-05,"Larsson"
"Lavender",2014,"Female",639.666666666667,"Juvenile",0,2.52752415443637e-05,"Lavender"
"Leona",2014,"Female",790.266666666667,"Adult",0,3.86470555340791e-10,"Leona"
"Lima",2014,"Female",775.318181818182,"Adult",0,0.000165668910832388,"Lima"
"Lola",2014,"Female",1274,"Adult",0,0.000169795658230554,"Lola"
"Loretta",2014,"Female",1317.38888888889,"Juvenile",0,0.000170444213066405,"Loretta"
"Luigi",2014,"Male",1259.5,"Juvenile",0,0.00011931223983826,"Luigi"
"Magnum",2014,"Male",1345.375,"Adult",0,0.000102775343843804,"Magnum"
"Mango",2014,"Female",1345.5,"Juvenile",0,0,"Mango"
"Marcos",2014,"Male",1332.44444444444,"Adult",0,0,"Marcos"
"Mark",2014,"Male",758.333333333333,"Adult",0,0.000155794299268778,"Mark"
"Martha",2014,"Female",688.666666666667,"Adult",0,0,"Martha"
"Martin",2014,"Male",787.515151515152,"Adult",1,0.000321162504084854,"Martin"
"Meaty",2014,"Male",1436.84615384615,"Adult",0,3.56972844385789e-06,"Meaty"
"Melon",2014,"Female",1321.86666666667,"Adult",0,9.4050022362553e-10,"Melon"
